term	estimate	std.error	conf.low	conf.high	statistic	df.error	p.value	p.stars	p.label	group	xpos	xmin	xmax	total	nevent	missing	germline	cancer	control	case	gene
mutationch_other	1.65618611337811	0.0863364460705052	1.39836138537174	1.96154761626037	5.84362062507997	Inf	5.10782808498769e-09	***	1.66 ***	pos	2	1.825	2.175	73710	716	71	germline	Lymphoid	13199	211	NA
mutationch_high	4.37841063552803	0.130277714362474	3.39175050677083	5.65209016849429	11.3349071033446	Inf	8.81255544216811e-30	***	4.38 ***	pos	1	0.825	1.175	73710	716	71	germline	Lymphoid	1676	70	NA
mutationch_other	2.91980091668754	0.135120364941124	2.24046713352366	3.80511602492533	7.93008097044567	Inf	2.1900304782263e-15	***	2.92 ***	pos	2	1.825	2.175	73710	308	71	germline	Myeloid	13303	107	NA
mutationch_high	16.0320376567502	0.150018566480057	11.9479305355071	21.5121966656587	18.4949712482269	Inf	2.26662908264641e-76	***	16.03 ***	pos	1	0.825	1.175	73710	308	71	germline	Myeloid	1673	73	NA
ch_other	1.69668916779744	0.573966441301078	0.550859909704826	5.22592782920749	0.921097063743121	Inf	0.356999753104157		1.70 	pos	NA	NA	NA	1720	17	0	g_ATM	Lymphoid	378	5	ATM
ch_high	8.06560993985445	0.688962707730378	2.09021565085078	31.1231349145242	3.03007595810072	Inf	0.00244492241272789	**	8.07 **	pos	NA	NA	NA	1720	17	0	g_ATM	Lymphoid	43	3	ATM
ch_other	1.73008810678983	0.308603749622692	0.944896483497105	3.16775954777356	1.77629836534171	Inf	0.0756837525184013		1.73 	pos	NA	NA	NA	3299	62	0	g_CHEK2	Lymphoid	556	17	CHEK2
ch_high	2.36913730924098	0.335763064810156	1.2268407509452	4.57501235242905	2.56885278560737	Inf	0.0102035793840917	*	2.37 *	pos	NA	NA	NA	3299	62	0	g_CHEK2	Lymphoid	316	13	CHEK2
ch_other	1.20800069662577	0.487833746081429	0.46432529918108	3.14276582736718	0.387358762503229	Inf	0.698490628162147		1.21 	pos	NA	NA	NA	1587	26	0	g_NTHL1	Lymphoid	296	6	NTHL1
ch_high	12.155472632053	0.637870722184993	3.48189208455782	42.4354090593117	3.91580833528779	Inf	9.01018091627903e-05	***	12.16 ***	pos	NA	NA	NA	1587	26	0	g_NTHL1	Lymphoid	14	3	NTHL1
ch_other	2.39505360957432	0.780669688711175	0.518570724170819	11.0617154524239	1.11879022229	Inf	0.263229643987017		2.40 	pos	NA	NA	NA	1720	9	0	g_ATM	Myeloid	380	3	ATM
ch_high	13.4979845826134	0.912225630301276	2.25829703060108	80.6783099493225	2.85295687566154	Inf	0.00433144991025513	**	13.50 **	pos	NA	NA	NA	1720	9	0	g_ATM	Myeloid	44	2	ATM
ch_other	1.83802363291442	0.482485525313796	0.713934990237904	4.73198669535186	1.2615733527057	Inf	0.207102349776638		1.84 	pos	NA	NA	NA	3299	30	0	g_CHEK2	Myeloid	566	7	CHEK2
ch_high	4.63768920729913	0.434113415808512	1.98054006245175	10.8597455771096	3.534136865274	Inf	0.000409109172919021	***	4.64 ***	pos	NA	NA	NA	3299	30	0	g_CHEK2	Myeloid	319	10	CHEK2
